instance,bks,nbh,time,seed,makespan
X6_8,147,swap,60,8948803,154
X6_8,147,swap,60,9459607,151
X6_8,147,swap,60,40594335,152
X6_8,147,swap,60,41299189,153
X6_8,147,swap,60,55911072,156
X6_8,147,swap,60,59528639,151
X6_8,147,swap,60,61045676,153
X6_8,147,swap,60,81907177,152
X6_8,147,swap,60,84183543,152
X6_8,147,swap,60,85838798,152
X6_8,147,api,60,8948803,155
X6_8,147,api,60,9459607,157
X6_8,147,api,60,40594335,160
X6_8,147,api,60,41299189,157
X6_8,147,api,60,55911072,160
X6_8,147,api,60,59528639,156
X6_8,147,api,60,61045676,166
X6_8,147,api,60,81907177,159
X6_8,147,api,60,84183543,161
X6_8,147,api,60,85838798,158
X6_8,147,shift,60,8948803,155
X6_8,147,shift,60,9459607,157
X6_8,147,shift,60,40594335,156
X6_8,147,shift,60,41299189,158
X6_8,147,shift,60,55911072,158
X6_8,147,shift,60,59528639,159
X6_8,147,shift,60,61045676,154
X6_8,147,shift,60,81907177,159
X6_8,147,shift,60,84183543,154
X6_8,147,shift,60,85838798,156
X6_8,147,random,60,8948803,160
X6_8,147,random,60,9459607,155
X6_8,147,random,60,40594335,158
X6_8,147,random,60,41299189,160
X6_8,147,random,60,55911072,161
X6_8,147,random,60,59528639,158
X6_8,147,random,60,61045676,156
X6_8,147,random,60,81907177,161
X6_8,147,random,60,84183543,156
X6_8,147,random,60,85838798,159
X9_6,98,swap,60,8948803,98
X9_6,98,swap,60,9459607,98
X9_6,98,swap,60,40594335,98
X9_6,98,swap,60,41299189,98
X9_6,98,swap,60,55911072,98
X9_6,98,swap,60,59528639,98
X9_6,98,swap,60,61045676,98
X9_6,98,swap,60,81907177,98
X9_6,98,swap,60,84183543,98
X9_6,98,swap,60,85838798,98
X9_6,98,api,60,8948803,98
X9_6,98,api,60,9459607,99
X9_6,98,api,60,40594335,98
X9_6,98,api,60,41299189,98
X9_6,98,api,60,55911072,100
X9_6,98,api,60,59528639,98
X9_6,98,api,60,61045676,99
X9_6,98,api,60,81907177,101
X9_6,98,api,60,84183543,99
X9_6,98,api,60,85838798,100
X9_6,98,shift,60,8948803,99
X9_6,98,shift,60,9459607,99
X9_6,98,shift,60,40594335,98
X9_6,98,shift,60,41299189,99
X9_6,98,shift,60,55911072,99
X9_6,98,shift,60,59528639,99
X9_6,98,shift,60,61045676,98
X9_6,98,shift,60,81907177,98
X9_6,98,shift,60,84183543,98
X9_6,98,shift,60,85838798,98
X9_6,98,random,60,8948803,98
X9_6,98,random,60,9459607,98
X9_6,98,random,60,40594335,98
X9_6,98,random,60,41299189,99
X9_6,98,random,60,55911072,98
X9_6,98,random,60,59528639,98
X9_6,98,random,60,61045676,99
X9_6,98,random,60,81907177,98
X9_6,98,random,60,84183543,98
X9_6,98,random,60,85838798,98
X10_9,77,swap,60,8948803,77
X10_9,77,swap,60,9459607,77
X10_9,77,swap,60,40594335,77
X10_9,77,swap,60,41299189,77
X10_9,77,swap,60,55911072,77
X10_9,77,swap,60,59528639,77
X10_9,77,swap,60,61045676,77
X10_9,77,swap,60,81907177,77
X10_9,77,swap,60,84183543,77
X10_9,77,swap,60,85838798,77
X10_9,77,api,60,8948803,77
X10_9,77,api,60,9459607,77
X10_9,77,api,60,40594335,77
X10_9,77,api,60,41299189,77
X10_9,77,api,60,55911072,77
X10_9,77,api,60,59528639,77
X10_9,77,api,60,61045676,77
X10_9,77,api,60,81907177,77
X10_9,77,api,60,84183543,77
X10_9,77,api,60,85838798,77
X10_9,77,shift,60,8948803,77
X10_9,77,shift,60,9459607,77
X10_9,77,shift,60,40594335,77
X10_9,77,shift,60,41299189,77
X10_9,77,shift,60,55911072,77
X10_9,77,shift,60,59528639,77
X10_9,77,shift,60,61045676,77
X10_9,77,shift,60,81907177,77
X10_9,77,shift,60,84183543,77
X10_9,77,shift,60,85838798,77
X10_9,77,random,60,8948803,77
X10_9,77,random,60,9459607,77
X10_9,77,random,60,40594335,77
X10_9,77,random,60,41299189,77
X10_9,77,random,60,55911072,77
X10_9,77,random,60,59528639,77
X10_9,77,random,60,61045676,77
X10_9,77,random,60,81907177,77
X10_9,77,random,60,84183543,77
X10_9,77,random,60,85838798,77
X27_6,145,swap,60,8948803,149
X27_6,145,swap,60,9459607,149
X27_6,145,swap,60,40594335,149
X27_6,145,swap,60,41299189,149
X27_6,145,swap,60,55911072,150
X27_6,145,swap,60,59528639,150
X27_6,145,swap,60,61045676,149
X27_6,145,swap,60,81907177,149
X27_6,145,swap,60,84183543,150
X27_6,145,swap,60,85838798,152
X27_6,145,api,60,8948803,152
X27_6,145,api,60,9459607,153
X27_6,145,api,60,40594335,154
X27_6,145,api,60,41299189,155
X27_6,145,api,60,55911072,154
X27_6,145,api,60,59528639,153
X27_6,145,api,60,61045676,154
X27_6,145,api,60,81907177,154
X27_6,145,api,60,84183543,152
X27_6,145,api,60,85838798,153
X27_6,145,shift,60,8948803,155
X27_6,145,shift,60,9459607,153
X27_6,145,shift,60,40594335,155
X27_6,145,shift,60,41299189,155
X27_6,145,shift,60,55911072,151
X27_6,145,shift,60,59528639,157
X27_6,145,shift,60,61045676,156
X27_6,145,shift,60,81907177,154
X27_6,145,shift,60,84183543,155
X27_6,145,shift,60,85838798,152
X27_6,145,random,60,8948803,152
X27_6,145,random,60,9459607,151
X27_6,145,random,60,40594335,155
X27_6,145,random,60,41299189,154
X27_6,145,random,60,55911072,153
X27_6,145,random,60,59528639,154
X27_6,145,random,60,61045676,156
X27_6,145,random,60,81907177,152
X27_6,145,random,60,84183543,153
X27_6,145,random,60,85838798,152
X30_8,79,swap,60,8948803,79
X30_8,79,swap,60,9459607,79
X30_8,79,swap,60,40594335,79
X30_8,79,swap,60,41299189,79
X30_8,79,swap,60,55911072,79
X30_8,79,swap,60,59528639,79
X30_8,79,swap,60,61045676,79
X30_8,79,swap,60,81907177,79
X30_8,79,swap,60,84183543,79
X30_8,79,swap,60,85838798,79
X30_8,79,api,60,8948803,79
X30_8,79,api,60,9459607,79
X30_8,79,api,60,40594335,79
X30_8,79,api,60,41299189,79
X30_8,79,api,60,55911072,79
X30_8,79,api,60,59528639,79
X30_8,79,api,60,61045676,79
X30_8,79,api,60,81907177,79
X30_8,79,api,60,84183543,79
X30_8,79,api,60,85838798,79
X30_8,79,shift,60,8948803,79
X30_8,79,shift,60,9459607,79
X30_8,79,shift,60,40594335,79
X30_8,79,shift,60,41299189,79
X30_8,79,shift,60,55911072,79
X30_8,79,shift,60,59528639,79
X30_8,79,shift,60,61045676,79
X30_8,79,shift,60,81907177,79
X30_8,79,shift,60,84183543,79
X30_8,79,shift,60,85838798,79
X30_8,79,random,60,8948803,79
X30_8,79,random,60,9459607,79
X30_8,79,random,60,40594335,79
X30_8,79,random,60,41299189,79
X30_8,79,random,60,55911072,79
X30_8,79,random,60,59528639,79
X30_8,79,random,60,61045676,79
X30_8,79,random,60,81907177,79
X30_8,79,random,60,84183543,79
X30_8,79,random,60,85838798,79
X42_7,123,swap,60,8948803,123
X42_7,123,swap,60,9459607,123
X42_7,123,swap,60,40594335,123
X42_7,123,swap,60,41299189,123
X42_7,123,swap,60,55911072,123
X42_7,123,swap,60,59528639,123
X42_7,123,swap,60,61045676,123
X42_7,123,swap,60,81907177,123
X42_7,123,swap,60,84183543,123
X42_7,123,swap,60,85838798,123
X42_7,123,api,60,8948803,123
X42_7,123,api,60,9459607,123
X42_7,123,api,60,40594335,123
X42_7,123,api,60,41299189,123
X42_7,123,api,60,55911072,123
X42_7,123,api,60,59528639,123
X42_7,123,api,60,61045676,123
X42_7,123,api,60,81907177,123
X42_7,123,api,60,84183543,123
X42_7,123,api,60,85838798,123
X42_7,123,shift,60,8948803,123
X42_7,123,shift,60,9459607,123
X42_7,123,shift,60,40594335,123
X42_7,123,shift,60,41299189,123
X42_7,123,shift,60,55911072,123
X42_7,123,shift,60,59528639,123
X42_7,123,shift,60,61045676,123
X42_7,123,shift,60,81907177,123
X42_7,123,shift,60,84183543,123
X42_7,123,shift,60,85838798,123
X42_7,123,random,60,8948803,123
X42_7,123,random,60,9459607,123
X42_7,123,random,60,40594335,123
X42_7,123,random,60,41299189,123
X42_7,123,random,60,55911072,123
X42_7,123,random,60,59528639,123
X42_7,123,random,60,61045676,123
X42_7,123,random,60,81907177,123
X42_7,123,random,60,84183543,123
X42_7,123,random,60,85838798,123
X51_6,214,swap,60,8948803,221
X51_6,214,swap,60,9459607,219
X51_6,214,swap,60,40594335,221
X51_6,214,swap,60,41299189,218
X51_6,214,swap,60,55911072,220
X51_6,214,swap,60,59528639,220
X51_6,214,swap,60,61045676,221
X51_6,214,swap,60,81907177,218
X51_6,214,swap,60,84183543,218
X51_6,214,swap,60,85838798,223
X51_6,214,api,60,8948803,225
X51_6,214,api,60,9459607,230
X51_6,214,api,60,40594335,228
X51_6,214,api,60,41299189,225
X51_6,214,api,60,55911072,228
X51_6,214,api,60,59528639,228
X51_6,214,api,60,61045676,225
X51_6,214,api,60,81907177,227
X51_6,214,api,60,84183543,226
X51_6,214,api,60,85838798,228
X51_6,214,shift,60,8948803,227
X51_6,214,shift,60,9459607,230
X51_6,214,shift,60,40594335,228
X51_6,214,shift,60,41299189,229
X51_6,214,shift,60,55911072,231
X51_6,214,shift,60,59528639,226
X51_6,214,shift,60,61045676,224
X51_6,214,shift,60,81907177,227
X51_6,214,shift,60,84183543,229
X51_6,214,shift,60,85838798,227
X51_6,214,random,60,8948803,229
X51_6,214,random,60,9459607,230
X51_6,214,random,60,40594335,226
X51_6,214,random,60,41299189,229
X51_6,214,random,60,55911072,230
X51_6,214,random,60,59528639,227
X51_6,214,random,60,61045676,228
X51_6,214,random,60,81907177,228
X51_6,214,random,60,84183543,227
X51_6,214,random,60,85838798,230
X55_10,100,swap,60,8948803,100
X55_10,100,swap,60,9459607,100
X55_10,100,swap,60,40594335,100
X55_10,100,swap,60,41299189,100
X55_10,100,swap,60,55911072,100
X55_10,100,swap,60,59528639,100
X55_10,100,swap,60,61045676,100
X55_10,100,swap,60,81907177,100
X55_10,100,swap,60,84183543,100
X55_10,100,swap,60,85838798,100
X55_10,100,api,60,8948803,100
X55_10,100,api,60,9459607,100
X55_10,100,api,60,40594335,100
X55_10,100,api,60,41299189,100
X55_10,100,api,60,55911072,100
X55_10,100,api,60,59528639,100
X55_10,100,api,60,61045676,100
X55_10,100,api,60,81907177,100
X55_10,100,api,60,84183543,100
X55_10,100,api,60,85838798,100
X55_10,100,shift,60,8948803,100
X55_10,100,shift,60,9459607,100
X55_10,100,shift,60,40594335,100
X55_10,100,shift,60,41299189,100
X55_10,100,shift,60,55911072,100
X55_10,100,shift,60,59528639,100
X55_10,100,shift,60,61045676,100
X55_10,100,shift,60,81907177,100
X55_10,100,shift,60,84183543,100
X55_10,100,shift,60,85838798,100
X55_10,100,random,60,8948803,100
X55_10,100,random,60,9459607,100
X55_10,100,random,60,40594335,100
X55_10,100,random,60,41299189,100
X55_10,100,random,60,55911072,100
X55_10,100,random,60,59528639,100
X55_10,100,random,60,61045676,100
X55_10,100,random,60,81907177,100
X55_10,100,random,60,84183543,100
X55_10,100,random,60,85838798,100
X58_3,120,swap,60,8948803,123
X58_3,120,swap,60,9459607,123
X58_3,120,swap,60,40594335,123
X58_3,120,swap,60,41299189,123
X58_3,120,swap,60,55911072,123
X58_3,120,swap,60,59528639,123
X58_3,120,swap,60,61045676,123
X58_3,120,swap,60,81907177,123
X58_3,120,swap,60,84183543,123
X58_3,120,swap,60,85838798,124
X58_3,120,api,60,8948803,125
X58_3,120,api,60,9459607,125
X58_3,120,api,60,40594335,126
X58_3,120,api,60,41299189,124
X58_3,120,api,60,55911072,125
X58_3,120,api,60,59528639,125
X58_3,120,api,60,61045676,126
X58_3,120,api,60,81907177,125
X58_3,120,api,60,84183543,125
X58_3,120,api,60,85838798,125
X58_3,120,shift,60,8948803,126
X58_3,120,shift,60,9459607,125
X58_3,120,shift,60,40594335,125
X58_3,120,shift,60,41299189,125
X58_3,120,shift,60,55911072,126
X58_3,120,shift,60,59528639,125
X58_3,120,shift,60,61045676,125
X58_3,120,shift,60,81907177,126
X58_3,120,shift,60,84183543,126
X58_3,120,shift,60,85838798,125
X58_3,120,random,60,8948803,125
X58_3,120,random,60,9459607,125
X58_3,120,random,60,40594335,124
X58_3,120,random,60,41299189,126
X58_3,120,random,60,55911072,125
X58_3,120,random,60,59528639,125
X58_3,120,random,60,61045676,125
X58_3,120,random,60,81907177,125
X58_3,120,random,60,84183543,124
X58_3,120,random,60,85838798,124
X59_3,108,swap,60,8948803,110
X59_3,108,swap,60,9459607,109
X59_3,108,swap,60,40594335,110
X59_3,108,swap,60,41299189,109
X59_3,108,swap,60,55911072,109
X59_3,108,swap,60,59528639,110
X59_3,108,swap,60,61045676,110
X59_3,108,swap,60,81907177,110
X59_3,108,swap,60,84183543,110
X59_3,108,swap,60,85838798,110
X59_3,108,api,60,8948803,110
X59_3,108,api,60,9459607,110
X59_3,108,api,60,40594335,111
X59_3,108,api,60,41299189,110
X59_3,108,api,60,55911072,110
X59_3,108,api,60,59528639,110
X59_3,108,api,60,61045676,111
X59_3,108,api,60,81907177,111
X59_3,108,api,60,84183543,111
X59_3,108,api,60,85838798,111
X59_3,108,shift,60,8948803,109
X59_3,108,shift,60,9459607,109
X59_3,108,shift,60,40594335,109
X59_3,108,shift,60,41299189,110
X59_3,108,shift,60,55911072,109
X59_3,108,shift,60,59528639,109
X59_3,108,shift,60,61045676,109
X59_3,108,shift,60,81907177,110
X59_3,108,shift,60,84183543,109
X59_3,108,shift,60,85838798,109
X59_3,108,random,60,8948803,110
X59_3,108,random,60,9459607,109
X59_3,108,random,60,40594335,109
X59_3,108,random,60,41299189,109
X59_3,108,random,60,55911072,109
X59_3,108,random,60,59528639,109
X59_3,108,random,60,61045676,109
X59_3,108,random,60,81907177,109
X59_3,108,random,60,84183543,109
X59_3,108,random,60,85838798,109
